"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"RF_TU_MN009","433","201504010000","77","7","6"
"RF_TU_MN009","433","201504010100","75","7","0"
"RF_TU_MN009","433","201504010200","77","7","0"
"RF_TU_MN009","433","201504010300","76","7","0"
"RF_TU_MN009","433","201504010400","79","7","0"
"RF_TU_MN009","433","201504010500","79","7","0"
"RF_TU_MN009","433","201504010600","81","7","0"
"RF_TU_MN009","433","201504010700","87","7","0"
"RF_TU_MN009","433","201504010800","85","7","0"
"RF_TU_MN009","433","201504010900","77","7","0"
"RF_TU_MN009","433","201504011000","68","7","0"
"RF_TU_MN009","433","201504011100","63","7","0"
"RF_TU_MN009","433","201504011200","89","7","0"
"RF_TU_MN009","433","201504011300","78","7","0"
"RF_TU_MN009","433","201504011400","53","7","0"
"RF_TU_MN009","433","201504011500","44","7","0"
"RF_TU_MN009","433","201504011600","51","7","0"
"RF_TU_MN009","433","201504011700","59","7","0"
"RF_TU_MN009","433","201504011800","69","7","0"
"RF_TU_MN009","433","201504011900","75","7","0"
"RF_TU_MN009","433","201504012000","77","7","0"
"RF_TU_MN009","433","201504012100","78","7","0"
"RF_TU_MN009","433","201504012200","79","7","0"
"RF_TU_MN009","433","201504012300","81","7","0"
"RF_TU_MN009","433","201504020000","82","7","0"
"RF_TU_MN009","433","201504020100","83","7","1"
"RF_TU_MN009","433","201504020200","85","7","1"
"RF_TU_MN009","433","201504020300","95","7","1"
"RF_TU_MN009","433","201504020400","96","7","1"
"RF_TU_MN009","433","201504020500","96","7","1"
"RF_TU_MN009","433","201504020600","95","7","1"
"RF_TU_MN009","433","201504020700","90","7","1"
"RF_TU_MN009","433","201504020800","87","7","1"
"RF_TU_MN009","433","201504020900","84","7","1"
"RF_TU_MN009","433","201504021000","74","7","1"
"RF_TU_MN009","433","201504021100","61","7","1"
"RF_TU_MN009","433","201504021200","49","7","1"
"RF_TU_MN009","433","201504021300","48","7","1"
"RF_TU_MN009","433","201504021400","67","7","1"
"RF_TU_MN009","433","201504021500","76","7","1"
"RF_TU_MN009","433","201504021600","70","7","1"
"RF_TU_MN009","433","201504021700","85","7","1"
"RF_TU_MN009","433","201504021800","81","7","1"
"RF_TU_MN009","433","201504021900","82","7","1"
"RF_TU_MN009","433","201504022000","77","7","1"
"RF_TU_MN009","433","201504022100","89","7","1"
"RF_TU_MN009","433","201504022200","86","7","1"
"RF_TU_MN009","433","201504022300","85","7","1"
"RF_TU_MN009","433","201504030000","84","7","1"
"RF_TU_MN009","433","201504030100","85","7","1"
"RF_TU_MN009","433","201504030200","86","7","1"
"RF_TU_MN009","433","201504030300","87","7","1"
"RF_TU_MN009","433","201504030400","78","7","1"
"RF_TU_MN009","433","201504030500","75","7","1"
"RF_TU_MN009","433","201504030600","72","7","1"
"RF_TU_MN009","433","201504030700","72","7","1"
"RF_TU_MN009","433","201504030800","71","7","1"
"RF_TU_MN009","433","201504030900","70","7","1"
"RF_TU_MN009","433","201504031000","73","7","1"
"RF_TU_MN009","433","201504031100","65","7","1"
"RF_TU_MN009","433","201504031200","57","7","1"
"RF_TU_MN009","433","201504031300","52","7","1"
"RF_TU_MN009","433","201504031400","51","7","1"
"RF_TU_MN009","433","201504031500","49","7","1"
"RF_TU_MN009","433","201504031600","61","7","1"
"RF_TU_MN009","433","201504031700","65","7","1"
"RF_TU_MN009","433","201504031800","66","7","1"
"RF_TU_MN009","433","201504031900","70","7","1"
"RF_TU_MN009","433","201504032000","74","7","1"
"RF_TU_MN009","433","201504032100","76","7","1"
"RF_TU_MN009","433","201504032200","74","7","1"
"RF_TU_MN009","433","201504032300","76","7","1"
"RF_TU_MN009","433","201504040000","80","7","1"
"RF_TU_MN009","433","201504040100","79","7","1"
"RF_TU_MN009","433","201504040200","80","7","1"
"RF_TU_MN009","433","201504040300","83","7","1"
"RF_TU_MN009","433","201504040400","86","7","1"
"RF_TU_MN009","433","201504040500","87","7","1"
"RF_TU_MN009","433","201504040600","86","7","1"
"RF_TU_MN009","433","201504040700","82","7","1"
"RF_TU_MN009","433","201504040800","77","7","1"
"RF_TU_MN009","433","201504040900","65","7","1"
"RF_TU_MN009","433","201504041000","56","7","1"
"RF_TU_MN009","433","201504041100","51","7","1"
"RF_TU_MN009","433","201504041200","56","7","1"
"RF_TU_MN009","433","201504041300","36","7","1"
"RF_TU_MN009","433","201504041400","39","7","1"
"RF_TU_MN009","433","201504041500","63","7","1"
"RF_TU_MN009","433","201504041600","45","7","1"
"RF_TU_MN009","433","201504041700","41","7","1"
"RF_TU_MN009","433","201504041800","51","7","1"
"RF_TU_MN009","433","201504041900","54","7","1"
"RF_TU_MN009","433","201504042000","55","7","1"
"RF_TU_MN009","433","201504042100","57","7","1"
"RF_TU_MN009","433","201504042200","62","7","1"
"RF_TU_MN009","433","201504042300","69","7","1"
"RF_TU_MN009","433","201504050000","71","7","1"
"RF_TU_MN009","433","201504050100","72","7","1"
"RF_TU_MN009","433","201504050200","74","7","1"
"RF_TU_MN009","433","201504050300","74","7","1"
"RF_TU_MN009","433","201504050400","76","7","1"
"RF_TU_MN009","433","201504050500","82","7","1"
"RF_TU_MN009","433","201504050600","84","7","1"
"RF_TU_MN009","433","201504050700","79","7","1"
"RF_TU_MN009","433","201504050800","73","7","1"
"RF_TU_MN009","433","201504050900","65","7","1"
"RF_TU_MN009","433","201504051000","56","7","1"
"RF_TU_MN009","433","201504051100","52","7","1"
"RF_TU_MN009","433","201504051200","40","7","1"
"RF_TU_MN009","433","201504051300","33","7","1"
"RF_TU_MN009","433","201504051400","31","7","1"
"RF_TU_MN009","433","201504051500","30","7","1"
"RF_TU_MN009","433","201504051600","33","7","1"
"RF_TU_MN009","433","201504051700","30","7","1"
"RF_TU_MN009","433","201504051800","37","7","1"
"RF_TU_MN009","433","201504051900","39","7","1"
"RF_TU_MN009","433","201504052000","39","7","1"
"RF_TU_MN009","433","201504052100","45","7","1"
"RF_TU_MN009","433","201504052200","48","7","1"
"RF_TU_MN009","433","201504052300","52","7","1"
"RF_TU_MN009","433","201504060000","54","7","1"
"RF_TU_MN009","433","201504060100","51","7","1"
"RF_TU_MN009","433","201504060200","55","7","1"
"RF_TU_MN009","433","201504060300","57","7","1"
"RF_TU_MN009","433","201504060400","79","7","1"
"RF_TU_MN009","433","201504060500","81","7","1"
"RF_TU_MN009","433","201504060600","79","7","1"
"RF_TU_MN009","433","201504060700","77","7","1"
"RF_TU_MN009","433","201504060800","67","7","1"
"RF_TU_MN009","433","201504060900","64","7","1"
"RF_TU_MN009","433","201504061000","57","7","1"
"RF_TU_MN009","433","201504061100","51","7","1"
"RF_TU_MN009","433","201504061200","50","7","1"
"RF_TU_MN009","433","201504061300","48","7","1"
"RF_TU_MN009","433","201504061400","47","7","1"
"RF_TU_MN009","433","201504061500","49","7","1"
"RF_TU_MN009","433","201504061600","48","7","1"
"RF_TU_MN009","433","201504061700","51","7","1"
"RF_TU_MN009","433","201504061800","56","7","1"
"RF_TU_MN009","433","201504061900","62","7","1"
"RF_TU_MN009","433","201504062000","67","7","1"
"RF_TU_MN009","433","201504062100","74","7","1"
"RF_TU_MN009","433","201504062200","79","7","1"
"RF_TU_MN009","433","201504062300","82","7","1"
"RF_TU_MN009","433","201504070000","86","7","1"
"RF_TU_MN009","433","201504070100","86","7","1"
"RF_TU_MN009","433","201504070200","91","7","1"
"RF_TU_MN009","433","201504070300","92","7","1"
"RF_TU_MN009","433","201504070400","90","7","1"
"RF_TU_MN009","433","201504070500","89","7","1"
"RF_TU_MN009","433","201504070600","85","7","1"
"RF_TU_MN009","433","201504070700","77","7","1"
"RF_TU_MN009","433","201504070800","66","7","1"
"RF_TU_MN009","433","201504070900","54","7","1"
"RF_TU_MN009","433","201504071000","47","7","1"
"RF_TU_MN009","433","201504071100","51","7","1"
"RF_TU_MN009","433","201504071200","42","7","1"
"RF_TU_MN009","433","201504071300","42","7","1"
"RF_TU_MN009","433","201504071400","51","7","1"
"RF_TU_MN009","433","201504071500","54","7","1"
"RF_TU_MN009","433","201504071600","57","7","1"
"RF_TU_MN009","433","201504071700","58","7","1"
"RF_TU_MN009","433","201504071800","62","7","1"
"RF_TU_MN009","433","201504071900","66","7","1"
"RF_TU_MN009","433","201504072000","68","7","1"
"RF_TU_MN009","433","201504072100","69","7","1"
"RF_TU_MN009","433","201504072200","71","7","1"
"RF_TU_MN009","433","201504072300","75","7","1"
"RF_TU_MN009","433","201504080000","80","7","1"
"RF_TU_MN009","433","201504080100","82","7","1"
"RF_TU_MN009","433","201504080200","85","7","1"
"RF_TU_MN009","433","201504080300","88","7","1"
"RF_TU_MN009","433","201504080400","84","7","1"
"RF_TU_MN009","433","201504080500","82","7","1"
"RF_TU_MN009","433","201504080600","81","7","1"
"RF_TU_MN009","433","201504080700","79","7","1"
"RF_TU_MN009","433","201504080800","82","7","1"
"RF_TU_MN009","433","201504080900","84","7","1"
"RF_TU_MN009","433","201504081000","84","7","1"
"RF_TU_MN009","433","201504081100","80","7","1"
"RF_TU_MN009","433","201504081200","78","7","1"
"RF_TU_MN009","433","201504081300","76","7","1"
"RF_TU_MN009","433","201504081400","71","7","1"
"RF_TU_MN009","433","201504081500","71","7","1"
"RF_TU_MN009","433","201504081600","72","7","1"
"RF_TU_MN009","433","201504081700","70","7","1"
"RF_TU_MN009","433","201504081800","72","7","1"
