"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TT_TU_MN009","433","201504010000","4","7","6"
"TT_TU_MN009","433","201504010100","4","7","0"
"TT_TU_MN009","433","201504010200","4.2","7","0"
"TT_TU_MN009","433","201504010300","4.1","7","0"
"TT_TU_MN009","433","201504010400","3.8","7","0"
"TT_TU_MN009","433","201504010500","3.8","7","0"
"TT_TU_MN009","433","201504010600","3.7","7","0"
"TT_TU_MN009","433","201504010700","3.3","7","0"
"TT_TU_MN009","433","201504010800","3.7","7","0"
"TT_TU_MN009","433","201504010900","5.2","7","0"
"TT_TU_MN009","433","201504011000","6.2","7","0"
"TT_TU_MN009","433","201504011100","7.5","7","0"
"TT_TU_MN009","433","201504011200","3.2","7","0"
"TT_TU_MN009","433","201504011300","5.5","7","0"
"TT_TU_MN009","433","201504011400","7.5","7","0"
"TT_TU_MN009","433","201504011500","8.2","7","0"
"TT_TU_MN009","433","201504011600","7.4","7","0"
"TT_TU_MN009","433","201504011700","5.6","7","0"
"TT_TU_MN009","433","201504011800","4.8","7","0"
"TT_TU_MN009","433","201504011900","3.9","7","0"
"TT_TU_MN009","433","201504012000","3.4","7","0"
"TT_TU_MN009","433","201504012100","3","7","0"
"TT_TU_MN009","433","201504012200","2.8","7","0"
"TT_TU_MN009","433","201504012300","2.6","7","0"
"TT_TU_MN009","433","201504020000","2.3","7","0"
"TT_TU_MN009","433","201504020100","2.3","7","1"
"TT_TU_MN009","433","201504020200","2.6","7","1"
"TT_TU_MN009","433","201504020300","1","7","1"
"TT_TU_MN009","433","201504020400","1","7","1"
"TT_TU_MN009","433","201504020500","1.1","7","1"
"TT_TU_MN009","433","201504020600","1.5","7","1"
"TT_TU_MN009","433","201504020700","2.3","7","1"
"TT_TU_MN009","433","201504020800","2.5","7","1"
"TT_TU_MN009","433","201504020900","3.3","7","1"
"TT_TU_MN009","433","201504021000","4.5","7","1"
"TT_TU_MN009","433","201504021100","5.5","7","1"
